course|program
linear algebra and geometry|the space of the mxn matrices: sum and product by scalars. the transpose. square, symmetric, skew-symmetric matrices. product of matrices. invertible matrices. the determinant and its properties. binet's theorem. the inverse of an invertible matrix. rank and independence of columns (rows). linear systems. cramer's theorem. rouché-capelli theorem. linear systems with parameters. ladder reduction. vector spaces and vector subspaces. generators of a vector space. linear independence of vectors. bases, coordinates, and dimension. vector subspaces of rn: bases, dimension, equations. grassmann formula. affine subspaces. linear maps. matrices associated with a linear map. kernel, image, and their dimensions. isomorphisms. scalar product. cauchy-schwarz inequality. projections. fourier coefficient. orthogonal and orthonormal bases. gram-schmidt process. change of orthonormal bases. orthogonal matrices. endomorphism and change of bases: similar matrices. diagonalizable endomorphisms and diagonalizable matrices. eigenvectors and eigenvalues. characteristic polynomial. algebraic and geometric multiplicity. criteria for diagonalizability. symmetric endomorphisms. spectral theorem. orthogonal endomorphisms. plane and space geometry.
mathematical analysis 1|sets, relations and functions. natural, integer, rational and real numbers. complex numbers, trigonometric and exponential representation. de moivre formula. the induction principle. modulus and powers. exponential, logaritmic and angular functions. limit of real sequences and its properties. indeterminate forms. monotone sequences. the neper's number and related limits. asymptotic comparison. limits of real function of real variale. properties. indeterminate forms. asymptotic comparison. monotone functions. continuity; the weierstrass's and the intermediate values theorems. derivative and derivative formulas. successive derivative. the fermat's, rolle's, lagrange's and cauchy's theorems. derivative and monotonicity. convexity. primitives. the de l'hospital's theorems. taylor formulas. asymptots and the study of the graphs of functions. riemann integral and integrability. definite integral and its properties. fundamental theorem and formula of the integral calculus. indefinite integral and integration methods: sum decomposition, by parts and sostitution. improper integral and convergence tests. series. the geometric and harmonic series. convergence tests. absolute convergence. leibnitz theorem. introduction to taylor and fourier series
mathematical analysis 2|functions of several variables. curves, line integrals, vector fields, differential forms. multiple integrals with applications. ordinary differential equations. laplace transform on r.
electromagnetics for information transmission|recall on basic concepts of electrostatics, magnetostatics, electrodynamics and maxwell equations. maxwell's equations in differential form and in phasors' domain. the information transmission: free space propagation and guided propagation. the transmission lines, impedance matching techniques. principles of radiation and antennas. electromagnetic compatibility elements. basic numerical techniques for the simulation of electromagnetic phenomena.
general physics 1|the galilean method. error analysis. scalar and vector quantities. particle mechanics. systems mechanics. kinematics. rectilinear, circular, harmonic motion. relative motions. dynamics. constraints, elastic, weight and friction forces. tension. inertial and not inertial frames; real and fictitious forces. energy and momentum. centre of mass. work, energy. conservative and not-conservative forces. potential energy; collisions. kinematics and dynamics in rotational mechanics. moment of a vector, of a force, of the momentum. moment of inertia. cardinal equations in the mechanics of systems. equivalent sets of forces. equilibrium of a rigid body .. fluids. general characteristics of fluids. fundamental equation of hydrostatics and hydrodynamics. thermology and thermodynamics: temperature, thermal equilibrium. first principle of the thermodynamics. states and transformations. the ideal gas
general physics 2|electric and magnetic phenomena in vacuum and matter, stationary case and non-stationary case. geometric optics and basic principles of wave optics.
object-oriented programming|the course consists of two main sections: object-oriented programming, and data structures and algorithms. the detailed program is given below: object-oriented programming (oop): - uml for the oop paradigm: class, object, package and sequence diagrams - oop: concepts of class, object, message, fields, methods and parameters - introduction to java (language syntax, constructs, compilation and execution from command-line, using an ide) - stack and heap of a java program, references, aliasing - arrays and strings - writing in standard output, reading from standard input - access modifiers, visibility rules, rules for the passage of properties and methods - inheritance, object assignments, dynamic type identification, casting - polymorphism, dynamics linking of methods - overload and override, the object class and base methods - abstract classes, interfaces - generics, collections, wrappers - i/o management - exceptions and errors, try-catch and try-finally constructs, debugging - tool for software management and development data structures and algorithms: - temporal and spatial complexity analysis, asymptotic functions, possible cases - advanced data structures: trees, heaps, graphs - advanced sorting methods: heapsort, mergesort, quicksort the workshops will cover the whole program, except for the purely theoretical aspects.
numerical analysis|error analysis and convergence. solutions of equations in one variable. direct methods for the solution of linear systems. interpolation and polynomial approximation. divided differences. numerical solution of nonlinear systems. iterative methods for linear algebra. eigenvalue problems. numerical differentiation and integration. initial and boundary value problems.
computer architecture and cloud computing|the course is divided into two parts. the first is intended to give students a basic understanding of the architecture of computers. the second aims to provide a basic understanding of computer networks. topics  computers part:  1) computer architectures 2) logic operations in alu 3) registers and cache 4) bus and arbitration 5) instructions and microinstructions 6) processors (pipeline, superscalar,.) 7) central memory 8) storage memory 9) interrupts and i/o devices  computer networks part:  10) introduction to computer networks 11) communication protocols 12) the iso / osi stack levels 13) cloud computing: infrastructures, virtualizations, automation, orchestration, programming paradigms, other aspects
industrial automation|part a: introduction to industrial automation. concepts of production systems and production processes. automation production systems and their classification. production equipment. process and manufacturing productions automation. flexibility of the manufacturing systems: general elements. principal performance indexes. dcs systems part b: modeling and control of discrete events systems (des). discrete events systems (des) concepts review; their use in modeling production processes. importance of des for engineers and relevant features of control of such systems. basics on automata and petri nets as des modeling formalisms. fundamental properties, elementary operations and compositions of automata. fundamental properties of the petri nets. place and transition-invariant. modeling of typical elements of the manufacturing systems. examples of production systems models . analysis of cyclic production systems. supervisory control of des using petri nets. uncontrollability and unobservability concepts. extention of the supervisory control methods to the uncontrollable or unobservable case. ladder and sfc languages for plc programing and their application for the development of control logics to be applied on a scaled manufacturing plant.
databases|theory: - introduction to enterprise information systems: definitions of organization, information and computer systems. enterprise processes. characteristics of processes, information and data. - introduction to databases and database management systems: basic definitions, database schemes and instances, abstraction levels, abstraction and independence. languages for database management, database users. - relational model: definition of relation, relations and tables, null values, integrity constraints. - relational algebra and calculus. - sql. - database design. conceptual design and the entity/relationship model. logical design. - theory of normalization. - outline of semi-structured and aggregated data models. exercises: - modelling with relational and er models - queries in relational algebra, relational calculus and sql - normalization laboratorio - database creation and querying with m  yl - database design - written exam simulation with perception
